ip_right_type,application_number,classification_system,classification,classification_importance,classification_inventiveness,classification_source,classifying_country_code,classification_date,classification_removal_date,classification_system_version,is_current
pbr,1988/021,upov,diant_car,,,,au,,,,True
pbr,1988/021,genus_species,dianthus caryophyllus,,,,au,,,,True
pbr,1988/021,genus,dianthus,,,,au,,,,True
pbr,1988/022,upov,diant_car,,,,au,,,,True
pbr,1988/022,genus_species,dianthus caryophyllus,,,,au,,,,True
pbr,1988/022,genus,dianthus,,,,au,,,,True
pbr,1988/023,upov,diant_car,,,,au,,,,True
pbr,1988/023,genus_species,dianthus caryophyllus,,,,au,,,,True
pbr,1988/023,genus,dianthus,,,,au,,,,True
pbr,1988/024,upov,diant_car,,,,au,,,,True
pbr,1988/024,genus_species,dianthus caryophyllus,,,,au,,,,True
pbr,1988/024,genus,dianthus,,,,au,,,,True
pbr,1988/025,upov,diant_car,,,,au,,,,True
pbr,1988/025,genus_species,dianthus caryophyllus,,,,au,,,,True
pbr,1988/025,genus,dianthus,,,,au,,,,True
pbr,1988/026,upov,diant_car,,,,au,,,,True
pbr,1988/026,genus_species,dianthus caryophyllus,,,,au,,,,True
pbr,1988/026,genus,dianthus,,,,au,,,,True
pbr,1988/027,upov,vitis_vin,,,,au,,,,True
pbr,1988/027,genus_species,vitis vinifera,,,,au,,,,True
pbr,1988/027,genus,vitis,,,,au,,,,True
pbr,1988/028,upov,brass_nap,,,,au,,,,True
pbr,1988/028,genus_species,brassica napus,,,,au,,,,True
pbr,1988/028,genus,brassica,,,,au,,,,True
pbr,1988/029,upov,malus_dom,,,,au,,,,True
pbr,1988/029,genus_species,malus domestica,,,,au,,,,True
pbr,1988/029,genus,malus,,,,au,,,,True
pbr,1988/030,upov,phase_vul,,,,au,,,,True
pbr,1988/030,genus_species,phaseolus vulgaris,,,,au,,,,True
pbr,1988/030,genus,phaseolus,,,,au,,,,True
pbr,1988/031,upov,anigo,,,,au,,,,True
pbr,1988/031,genus_species,anigozanthos hybrid,,,,au,,,,True
pbr,1988/031,genus,anigozanthos,,,,au,,,,True
pbr,1988/032,upov,leche_for,,,,au,,,,True
pbr,1988/032,genus_species,lechenaultia formosa,,,,au,,,,True
pbr,1988/032,genus,lechenaultia,,,,au,,,,True
pbr,1988/033,upov,leche,,,,au,,,,True
pbr,1988/033,genus_species,lechenaultia hybrid,,,,au,,,,True
pbr,1988/033,genus,lechenaultia,,,,au,,,,True
pbr,1988/034,upov,leche_for,,,,au,,,,True
pbr,1988/034,genus_species,lechenaultia formosa,,,,au,,,,True
pbr,1988/034,genus,lechenaultia,,,,au,,,,True
pbr,1988/035,upov,orntp_sat,,,,au,,,,True
pbr,1988/035,genus_species,ornithopus sativus,,,,au,,,,True
pbr,1988/035,genus,ornithopus,,,,au,,,,True
pbr,1988/036,upov,pisum_sat,,,,au,,,,True
pbr,1988/036,genus_species,pisum sativum,,,,au,,,,True
pbr,1988/036,genus,pisum,,,,au,,,,True
pbr,1988/037,upov,glyci_max,,,,au,,,,True
pbr,1988/037,genus_species,glycine max,,,,au,,,,True
pbr,1988/037,genus,glycine,,,,au,,,,True
pbr,1989/001,upov,citru_sin,,,,au,,,,True
pbr,1989/001,genus_species,citrus sinensis,,,,au,,,,True
pbr,1989/001,genus,citrus,,,,au,,,,True
pbr,1989/002,upov,citru_sin,,,,au,,,,True
